time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-13 00:00:00+00:00,104,62,251,89
2022-02-14 00:00:00+00:00,214,85,662,141
2022-02-15 00:00:00+00:00,378,114,1022,136
2022-02-16 00:00:00+00:00,459,132,720,122
2022-02-17 00:00:00+00:00,576,125,1283,134
2022-02-18 00:00:00+00:00,495,122,770,131
2022-02-19 00:00:00+00:00,259,110,387,83
2022-02-20 00:00:00+00:00,232,101,286,86
2022-02-21 00:00:00+00:00,423,117,684,143
2022-02-22 00:00:00+00:00,370,118,579,131
2022-02-23 00:00:00+00:00,577,122,704,134
2022-02-24 00:00:00+00:00,513,114,672,111
2022-02-25 00:00:00+00:00,375,101,650,121
2022-02-26 00:00:00+00:00,209,74,260,97
